,group,home_team,away_team,home_team_id,away_team_id,recent,home_team_fitness,away_team_fitness,home_team_level,away_team_level,championship_importance,home_team_fifa_ranking,away_team_fifa_ranking,neutral,result
0,semis,Spain,Brazil,197,29,1,97,114,10,10,5,1162,1384,1,1.0
1,semis,Portugal,Germany,172,79,1,114,137,9,10,5,1306,1544,1,1.0
