date,loc,home_team,away_team,group,home_team_id,away_team_id,recent,result,home_wins,away_wins,home_team_fitness,away_team_fitness,home_team_level,away_team_level,championship_importance,neutral,home_team_fifa_ranking,away_team_fifa_ranking
6/14/2018 18:00,"Luzhniki Stadium, Moscow",Spain,France,4ths,197,73,0.9,,,,97,91,10,10,5,1,1162,1166
6/15/2018 15:00,Ekaterinburg Stadium,Portugal,Argentina,4ths,172,9,0.9,,,,114,84,9,9,5,1,1306,1254
6/15/2018 18:00,Saint Petersburg Stadium,Brazil,Belgium,4ths,29,20,0.9,,,,114,87,10,6,5,1,1384,1346
6/15/2018 21:00,"Fisht Stadium, Sochi",Germany,Colombia,4ths,79,45,0.9,,,,138,91,10,7,5,1,1544,989
