date,loc,home_team,away_team,group,home_team_id,away_team_id,recent,result,home_wins,away_wins,home_team_fitness,away_team_fitness,home_team_level,away_team_level,championship_importance,neutral,home_team_fifa_ranking,away_team_fifa_ranking
6/14/2018 18:00,"Luzhniki Stadium, Moscow",Uruguay,Spain,8ths,228,197,0.8,,,,68,99,7,10,5,1,976,1162
6/15/2018 15:00,Ekaterinburg Stadium,Portugal,Russia,8ths,172,177,0.8,,,,114,63,9,7,5,1,1306,493
6/15/2018 18:00,Saint Petersburg Stadium,France,Croatia,8ths,73,51,0.8,,,,83,80,10,6,5,1,1166,975
6/15/2018 21:00,"Fisht Stadium, Sochi",Argentina,Denmark,8ths,9,57,0.8,,,,83,70,9,7,5,1,1254,1054
6/16/2018 13:00,Kazan Arena,Brazil,Mexico,8ths,29,139,0.8,,,,114,145,10,7,5,1,1384,1008
6/16/2018 16:00,"Otkrytiye Arena, Moscow",Germany,Serbia,8ths,79,186,0.8,,,,138,70,10,5,5,1,1544,732
6/16/2018 19:00,Saransk Stadium,Belgium,Poland,8ths,20,171,0.8,,,,79,69,6,6,5,1,1346,1128
6/16/2018 22:00,Kaliningrad Stadium,Colombia,England,8ths,45,65,0.8,,,,98,91,7,9,5,1,989,1040
